Subject,RT,KeyPressed,StimulusType,SyntaxCategory,Correct
1,1766,85,Sentence,Ungrammatical,TRUE
1,1967,85,Sentence,Filler-Gram,FALSE
1,1983,85,Sentence,Ungrammatical,TRUE
1,1286,65,Sentence,Filler-Gram,TRUE
1,1774,85,Sentence,Ungrammatical,TRUE
1,1504,65,Sentence,Filler-Gram,TRUE
1,1674,65,Sentence,Grammatical,TRUE
1,1388,65,Sentence,Ungrammatical,FALSE
1,2040,65,Sentence,Filler-Gram,TRUE
1,1784,65,Sentence,Grammatical,TRUE
1,1744,65,Sentence,Ungrammatical,FALSE
1,1662,65,Sentence,Filler-Ungram,FALSE
1,399,85,Sentence,Filler-Gram,FALSE
1,6588,65,Sentence,Grammatical,TRUE
1,725,65,Sentence,Grammatical,TRUE
1,1506,85,Sentence,Ungrammatical,TRUE
1,3585,85,Sentence,Ungrammatical,TRUE
1,582,65,Sentence,Filler-Ungram,FALSE
1,1426,65,Sentence,Filler-Gram,TRUE
1,252,65,Sentence,Grammatical,TRUE
1,1700,65,Sentence,Filler-Gram,TRUE
1,1070,65,Sentence,Filler-Ungram,FALSE
1,1136,85,Sentence,Filler-Ungram,TRUE
1,1902,85,Sentence,Filler-Ungram,TRUE
1,273,65,Sentence,Grammatical,TRUE
1,2151,65,Sentence,Ungrammatical,FALSE
1,3026,65,Sentence,Grammatical,TRUE
1,5304,65,Sentence,Grammatical,TRUE
1,1288,65,Sentence,Grammatical,TRUE
1,1500,65,Sentence,Ungrammatical,FALSE
1,1978,85,Sentence,Filler-Ungram,TRUE
1,1570,65,Sentence,Filler-Gram,TRUE
1,640,65,Sentence,Grammatical,TRUE
1,2484,65,Music,In-Key,TRUE
1,2073,65,Music,Distant-Key,FALSE
1,1570,65,Music,In-Key,TRUE
1,327,85,Music,Distant-Key,TRUE
1,1725,65,Music,Distant-Key,FALSE
1,3185,65,Music,Distant-Key,FALSE
1,634,85,Music,Distant-Key,TRUE
1,4308,65,Music,In-Key,TRUE
1,1747,65,Music,In-Key,TRUE
1,1816,65,Music,In-Key,TRUE
1,1461,65,Music,Distant-Key,FALSE
1,2443,65,Music,In-Key,TRUE
1,2257,85,Music,Distant-Key,TRUE
1,2267,65,Music,In-Key,TRUE
1,1588,65,Music,In-Key,TRUE
1,1021,65,Music,Distant-Key,FALSE
1,1595,85,Music,Distant-Key,TRUE
1,1998,65,Music,Distant-Key,FALSE
1,1946,65,Music,In-Key,TRUE
1,2572,65,Music,In-Key,TRUE
1,3364,65,Music,In-Key,TRUE
1,4164,65,Music,In-Key,TRUE
1,3339,65,Music,In-Key,TRUE
1,875,65,Music,Distant-Key,FALSE
1,1449,65,Music,In-Key,TRUE
1,2356,65,Music,In-Key,TRUE
1,3621,65,Music,Distant-Key,FALSE
1,950,65,Music,Distant-Key,FALSE
1,913,65,Music,Distant-Key,FALSE
1,1292,85,Music,Distant-Key,TRUE
1,1401,65,Music,In-Key,TRUE
1,5067,65,Music,Distant-Key,FALSE
1,1281,65,Music,Distant-Key,FALSE
1,648,65,Music,In-Key,TRUE
1,4038,65,Music,Distant-Key,FALSE
1,2626,85,Music,Distant-Key,TRUE
1,680,65,Sentence,Filler-Ungram,FALSE
1,1495,85,Sentence,Filler-Ungram,TRUE
1,978,85,Sentence,Grammatical,FALSE
1,1181,85,Sentence,Ungrammatical,TRUE
1,1956,65,Sentence,Grammatical,TRUE
1,1026,65,Sentence,Grammatical,TRUE
1,1194,65,Sentence,Filler-Ungram,FALSE
1,558,85,Sentence,Ungrammatical,TRUE
1,2591,65,Sentence,Ungrammatical,FALSE
1,2715,65,Sentence,Filler-Gram,TRUE
1,1167,65,Sentence,Filler-Ungram,FALSE
1,1508,65,Sentence,Ungrammatical,FALSE
1,2061,65,Sentence,Ungrammatical,FALSE
1,1087,65,Sentence,Filler-Gram,TRUE
1,1499,65,Sentence,Grammatical,TRUE
1,615,65,Sentence,Filler-Ungram,FALSE
1,746,65,Sentence,Filler-Ungram,FALSE
1,2071,85,Sentence,Filler-Ungram,TRUE
1,1798,65,Sentence,Filler-Gram,TRUE
1,5215,65,Sentence,Ungrammatical,FALSE
1,942,85,Sentence,Grammatical,FALSE
1,457,85,Sentence,Filler-Gram,FALSE
1,1863,85,Sentence,Filler-Ungram,TRUE
1,1384,65,Sentence,Filler-Ungram,FALSE
1,659,85,Sentence,Ungrammatical,TRUE
1,3636,65,Sentence,Filler-Gram,TRUE
1,1231,65,Sentence,Filler-Gram,TRUE
1,3463,65,Sentence,Filler-Gram,TRUE
1,348,85,Sentence,Ungrammatical,TRUE
1,1794,85,Sentence,Ungrammatical,TRUE
1,3076,85,Sentence,Filler-Gram,FALSE
1,296,65,Sentence,Grammatical,TRUE
1,661,85,Sentence,Ungrammatical,TRUE
1,1183,65,Music,In-Key,TRUE
1,1720,85,Music,Distant-Key,TRUE
1,1693,65,Music,In-Key,TRUE
1,2533,65,Music,In-Key,TRUE
1,881,65,Music,Distant-Key,FALSE
1,1670,65,Music,In-Key,TRUE
1,2868,65,Music,In-Key,TRUE
1,2121,65,Music,In-Key,TRUE
1,3583,85,Music,Distant-Key,TRUE
1,8868,65,Music,In-Key,TRUE
1,1187,65,Music,In-Key,TRUE
1,1022,85,Music,Distant-Key,TRUE
1,2691,65,Music,Distant-Key,FALSE
1,1803,65,Music,Distant-Key,FALSE
1,900,65,Music,Distant-Key,FALSE
1,1798,65,Music,In-Key,TRUE
1,2574,65,Music,In-Key,TRUE
1,3369,65,Music,In-Key,TRUE
1,3589,65,Music,Distant-Key,FALSE
1,3613,65,Music,In-Key,TRUE
1,723,65,Music,Distant-Key,FALSE
1,1470,85,Music,Distant-Key,TRUE
1,2490,65,Music,Distant-Key,FALSE
1,3786,65,Music,Distant-Key,FALSE
1,5142,65,Music,In-Key,TRUE
1,601,65,Music,Distant-Key,FALSE
1,1331,65,Music,Distant-Key,FALSE
1,3635,85,Music,In-Key,FALSE
1,4053,65,Music,In-Key,TRUE
1,2277,65,Music,Distant-Key,FALSE
1,3776,65,Music,In-Key,TRUE
1,508,85,Music,Distant-Key,TRUE
1,441,65,Music,In-Key,TRUE
1,902,85,Music,Distant-Key,TRUE
1,1926,65,Music,In-Key,TRUE
1,1580,65,Music,In-Key,TRUE
1,491,65,Sentence,Grammatical,TRUE
1,872,85,Sentence,Ungrammatical,TRUE
1,1476,65,Sentence,Filler-Ungram,FALSE
1,1731,65,Sentence,Ungrammatical,FALSE
1,1646,65,Sentence,Filler-Gram,TRUE
1,1411,65,Sentence,Grammatical,TRUE
1,687,85,Sentence,Filler-Gram,FALSE
1,1612,65,Sentence,Grammatical,TRUE
1,414,65,Sentence,Ungrammatical,FALSE
1,1292,65,Sentence,Grammatical,TRUE
1,262,65,Sentence,Grammatical,TRUE
1,2885,65,Sentence,Filler-Ungram,FALSE
1,2124,65,Sentence,Filler-Ungram,FALSE
1,1426,65,Sentence,Ungrammatical,FALSE
1,1083,65,Sentence,Ungrammatical,FALSE
1,646,65,Sentence,Grammatical,TRUE
1,1906,65,Sentence,Grammatical,TRUE
1,1978,85,Sentence,Ungrammatical,TRUE
1,1122,85,Sentence,Ungrammatical,TRUE
1,3177,85,Sentence,Filler-Gram,FALSE
1,2151,65,Sentence,Filler-Ungram,FALSE
1,1032,85,Sentence,Filler-Ungram,TRUE
1,303,65,Sentence,Grammatical,TRUE
1,1312,65,Sentence,Ungrammatical,FALSE
1,2878,65,Sentence,Grammatical,TRUE
1,2000,85,Sentence,Ungrammatical,TRUE
1,1636,65,Sentence,Grammatical,TRUE
1,549,85,Sentence,Grammatical,FALSE
1,1507,85,Sentence,Ungrammatical,TRUE
1,2515,65,Sentence,Grammatical,TRUE
1,3090,65,Sentence,Ungrammatical,FALSE
1,4822,65,Sentence,Filler-Gram,TRUE
1,875,65,Sentence,Grammatical,TRUE
1,1868,85,Sentence,Grammatical,FALSE
2,661,65,Sentence,Grammatical,TRUE
2,1085,85,Sentence,Ungrammatical,TRUE
2,1223,65,Sentence,Filler-Ungram,FALSE
2,5009,85,Sentence,Filler-Ungram,TRUE
2,3178,85,Sentence,Filler-Gram,FALSE
2,483,85,Sentence,Ungrammatical,TRUE
2,563,85,Sentence,Ungrammatical,TRUE
2,456,65,Sentence,Filler-Ungram,FALSE
2,4960,85,Sentence,Filler-Ungram,TRUE
2,412,65,Sentence,Grammatical,TRUE
2,556,85,Sentence,Ungrammatical,TRUE
2,571,85,Sentence,Ungrammatical,TRUE
2,6044,65,Sentence,Grammatical,TRUE
2,617,65,Sentence,Filler-Ungram,FALSE
2,664,85,Sentence,Ungrammatical,TRUE
2,1665,85,Sentence,Filler-Gram,FALSE
2,1158,85,Sentence,Filler-Gram,FALSE
2,3730,85,Sentence,Filler-Gram,FALSE
2,377,65,Sentence,Filler-Ungram,FALSE
2,1103,65,Sentence,Filler-Ungram,FALSE
2,1594,85,Sentence,Filler-Gram,FALSE
2,1484,65,Sentence,Filler-Ungram,FALSE
2,1344,65,Sentence,Grammatical,TRUE
2,370,85,Sentence,Filler-Gram,FALSE
2,356,85,Sentence,Ungrammatical,TRUE
2,500,65,Sentence,Filler-Ungram,FALSE
2,1604,65,Sentence,Grammatical,TRUE
2,398,85,Sentence,Ungrammatical,TRUE
2,883,65,Sentence,Grammatical,TRUE
2,1454,65,Sentence,Grammatical,TRUE
2,891,65,Sentence,Grammatical,TRUE
2,713,65,Sentence,Filler-Ungram,FALSE
2,1654,65,Sentence,Grammatical,TRUE
2,1695,65,Music,In-Key,TRUE
2,425,85,Music,Distant-Key,TRUE
2,383,85,Music,Distant-Key,TRUE
2,445,65,Music,In-Key,TRUE
2,993,65,Music,In-Key,TRUE
2,469,65,Music,In-Key,TRUE
2,341,85,Music,Distant-Key,TRUE
2,1529,85,Music,In-Key,FALSE
2,282,85,Music,Distant-Key,TRUE
2,1303,85,Music,Distant-Key,TRUE
2,337,65,Music,In-Key,TRUE
2,1544,85,Music,Distant-Key,TRUE
2,718,65,Music,In-Key,TRUE
2,215,65,Music,In-Key,TRUE
2,269,85,Music,Distant-Key,TRUE
2,302,65,Music,In-Key,TRUE
2,364,65,Music,In-Key,TRUE
2,666,85,Music,In-Key,FALSE
2,248,85,Music,Distant-Key,TRUE
2,292,65,Music,In-Key,TRUE
2,331,85,Music,Distant-Key,TRUE
2,312,85,Music,Distant-Key,TRUE
2,468,85,Music,Distant-Key,TRUE
2,360,65,Music,In-Key,TRUE
2,476,85,Music,Distant-Key,TRUE
2,657,65,Music,Distant-Key,FALSE
2,342,65,Music,In-Key,TRUE
2,410,85,Music,Distant-Key,TRUE
2,240,65,Music,In-Key,TRUE
2,395,65,Music,In-Key,TRUE
2,1425,85,Music,Distant-Key,TRUE
2,350,85,Music,Distant-Key,TRUE
2,408,85,Music,Distant-Key,TRUE
2,382,65,Music,In-Key,TRUE
2,371,65,Music,In-Key,TRUE
2,336,85,Music,Distant-Key,TRUE
2,563,65,Sentence,Grammatical,TRUE
2,419,85,Sentence,Ungrammatical,TRUE
2,1551,65,Sentence,Filler-Ungram,FALSE
2,1927,65,Sentence,Filler-Gram,TRUE
2,374,85,Sentence,Filler-Gram,FALSE
2,282,85,Sentence,Filler-Gram,FALSE
2,540,85,Sentence,Filler-Gram,FALSE
2,1098,65,Sentence,Grammatical,TRUE
2,3437,65,Sentence,Filler-Ungram,FALSE
2,708,65,Sentence,Grammatical,TRUE
2,408,85,Sentence,Ungrammatical,TRUE
2,545,65,Sentence,Grammatical,TRUE
2,273,85,Sentence,Filler-Gram,FALSE
2,494,65,Sentence,Filler-Ungram,FALSE
2,472,85,Sentence,Ungrammatical,TRUE
2,670,65,Sentence,Grammatical,TRUE
2,474,85,Sentence,Ungrammatical,TRUE
2,608,85,Sentence,Filler-Gram,FALSE
2,393,85,Sentence,Ungrammatical,TRUE
2,336,65,Sentence,Grammatical,TRUE
2,838,85,Sentence,Ungrammatical,TRUE
2,413,65,Sentence,Filler-Ungram,FALSE
2,503,65,Sentence,Grammatical,TRUE
2,341,85,Sentence,Ungrammatical,TRUE
2,1625,85,Sentence,Filler-Gram,FALSE
2,473,65,Sentence,Grammatical,TRUE
2,574,85,Sentence,Filler-Gram,FALSE
2,1191,65,Sentence,Filler-Ungram,FALSE
2,756,65,Sentence,Filler-Ungram,FALSE
2,539,65,Sentence,Grammatical,TRUE
2,2350,85,Sentence,Filler-Gram,FALSE
2,3004,85,Sentence,Ungrammatical,TRUE
2,580,65,Sentence,Filler-Ungram,FALSE
2,920,85,Music,Distant-Key,TRUE
2,1137,65,Music,In-Key,TRUE
2,388,85,Music,Distant-Key,TRUE
2,604,65,Music,In-Key,TRUE
2,481,85,Music,Distant-Key,TRUE
2,220,65,Music,In-Key,TRUE
2,304,85,Music,Distant-Key,TRUE
2,454,65,Music,Distant-Key,FALSE
2,261,65,Music,In-Key,TRUE
2,331,65,Music,Distant-Key,FALSE
2,309,85,Music,Distant-Key,TRUE
2,521,85,Music,In-Key,FALSE
2,1360,65,Music,In-Key,TRUE
2,264,65,Music,In-Key,TRUE
2,344,65,Music,In-Key,TRUE
2,252,85,Music,Distant-Key,TRUE
2,1370,85,Music,Distant-Key,TRUE
2,632,65,Music,In-Key,TRUE
2,1606,65,Music,Distant-Key,FALSE
2,586,85,Music,Distant-Key,TRUE
2,468,65,Music,Distant-Key,FALSE
2,669,65,Music,Distant-Key,FALSE
2,694,65,Music,In-Key,TRUE
2,856,65,Music,In-Key,TRUE
2,1064,65,Music,In-Key,TRUE
2,2744,65,Music,Distant-Key,FALSE
2,405,65,Music,In-Key,TRUE
2,613,65,Music,In-Key,TRUE
2,537,85,Music,Distant-Key,TRUE
2,337,85,Music,Distant-Key,TRUE
2,1272,65,Music,In-Key,TRUE
2,479,85,Music,Distant-Key,TRUE
2,392,65,Music,In-Key,TRUE
2,412,65,Music,In-Key,TRUE
2,584,85,Music,Distant-Key,TRUE
2,340,65,Music,In-Key,TRUE
2,764,85,Sentence,Ungrammatical,TRUE
2,1852,85,Sentence,Filler-Gram,FALSE
2,571,85,Sentence,Ungrammatical,TRUE
2,553,85,Sentence,Ungrammatical,TRUE
2,2264,65,Sentence,Filler-Gram,TRUE
2,727,65,Sentence,Grammatical,TRUE
2,424,85,Sentence,Ungrammatical,TRUE
2,750,85,Sentence,Filler-Gram,FALSE
2,508,65,Sentence,Grammatical,TRUE
2,635,65,Sentence,Grammatical,TRUE
2,4501,65,Sentence,Grammatical,TRUE
2,1439,65,Sentence,Grammatical,TRUE
2,1453,85,Sentence,Filler-Gram,FALSE
2,1191,85,Sentence,Filler-Gram,FALSE
2,389,65,Sentence,Grammatical,TRUE
2,457,85,Sentence,Ungrammatical,TRUE
2,331,85,Sentence,Ungrammatical,TRUE
2,279,85,Sentence,Ungrammatical,TRUE
2,330,85,Sentence,Ungrammatical,TRUE
2,346,85,Sentence,Ungrammatical,TRUE
2,2212,65,Sentence,Filler-Ungram,FALSE
2,283,85,Sentence,Ungrammatical,TRUE
2,489,65,Sentence,Filler-Ungram,FALSE
2,374,65,Sentence,Grammatical,TRUE
2,1318,85,Sentence,Ungrammatical,TRUE
2,385,65,Sentence,Grammatical,TRUE
2,736,65,Sentence,Grammatical,TRUE
2,386,85,Sentence,Ungrammatical,TRUE
2,387,85,Sentence,Ungrammatical,TRUE
2,524,85,Sentence,Ungrammatical,TRUE
2,312,65,Sentence,Grammatical,TRUE
2,3097,85,Sentence,Filler-Ungram,TRUE
2,623,65,Sentence,Grammatical,TRUE
2,1042,65,Sentence,Grammatical,TRUE
3,1674,65,Sentence,Grammatical,TRUE
3,853,85,Sentence,Filler-Gram,FALSE
3,393,65,Sentence,Filler-Gram,TRUE
3,1105,65,Sentence,Grammatical,TRUE
3,972,65,Sentence,Grammatical,TRUE
3,1697,85,Sentence,Grammatical,FALSE
3,876,65,Sentence,Filler-Gram,TRUE
3,704,65,Sentence,Filler-Ungram,FALSE
3,1153,65,Sentence,Filler-Ungram,FALSE
3,1223,85,Sentence,Filler-Ungram,TRUE
3,721,65,Sentence,Filler-Ungram,FALSE
3,1401,65,Sentence,Filler-Ungram,FALSE
3,843,85,Sentence,Filler-Gram,FALSE
3,1516,65,Sentence,Ungrammatical,FALSE
3,1287,85,Sentence,Ungrammatical,TRUE
3,1413,85,Sentence,Ungrammatical,TRUE
3,1060,65,Sentence,Grammatical,TRUE
3,1086,65,Sentence,Filler-Gram,TRUE
3,1867,65,Sentence,Filler-Gram,TRUE
3,1302,85,Sentence,Ungrammatical,TRUE
3,1735,65,Sentence,Grammatical,TRUE
3,951,85,Sentence,Ungrammatical,TRUE
3,1485,65,Sentence,Grammatical,TRUE
3,732,65,Sentence,Grammatical,TRUE
3,1128,85,Sentence,Ungrammatical,TRUE
3,1406,85,Sentence,Filler-Gram,FALSE
3,1259,85,Sentence,Ungrammatical,TRUE
3,1555,65,Sentence,Ungrammatical,FALSE
3,1828,65,Sentence,Filler-Gram,TRUE
3,901,85,Sentence,Ungrammatical,TRUE
3,702,65,Sentence,Grammatical,TRUE
3,785,85,Sentence,Filler-Gram,FALSE
3,737,85,Sentence,Filler-Gram,FALSE
3,513,65,Music,In-Key,TRUE
3,1110,85,Music,Distant-Key,TRUE
3,659,65,Music,Distant-Key,FALSE
3,721,65,Music,Distant-Key,FALSE
3,930,85,Music,In-Key,FALSE
3,629,85,Music,Distant-Key,TRUE
3,1044,85,Music,Distant-Key,TRUE
3,1593,65,Music,In-Key,TRUE
3,755,65,Music,Distant-Key,FALSE
3,1925,65,Music,In-Key,TRUE
3,669,85,Music,Distant-Key,TRUE
3,1321,85,Music,Distant-Key,TRUE
3,847,85,Music,Distant-Key,TRUE
3,564,85,Music,Distant-Key,TRUE
3,443,65,Music,In-Key,TRUE
3,756,65,Music,In-Key,TRUE
3,1473,65,Music,In-Key,TRUE
3,1012,65,Music,Distant-Key,FALSE
3,1902,65,Music,In-Key,TRUE
3,1825,65,Music,Distant-Key,FALSE
3,564,65,Music,In-Key,TRUE
3,1350,65,Music,In-Key,TRUE
3,827,65,Music,Distant-Key,FALSE
3,458,65,Music,In-Key,TRUE
3,328,65,Music,In-Key,TRUE
3,361,65,Music,In-Key,TRUE
3,346,65,Music,In-Key,TRUE
3,693,65,Music,In-Key,TRUE
3,632,65,Music,In-Key,TRUE
3,493,85,Music,Distant-Key,TRUE
3,1148,85,Music,Distant-Key,TRUE
3,377,65,Music,In-Key,TRUE
3,936,85,Music,In-Key,FALSE
3,484,85,Music,Distant-Key,TRUE
3,903,65,Music,Distant-Key,FALSE
3,1929,65,Music,In-Key,TRUE
3,461,65,Sentence,Grammatical,TRUE
3,905,85,Sentence,Ungrammatical,TRUE
3,2173,65,Sentence,Grammatical,TRUE
3,941,65,Sentence,Grammatical,TRUE
3,1024,85,Sentence,Ungrammatical,TRUE
3,1250,65,Sentence,Grammatical,TRUE
3,2054,65,Sentence,Filler-Ungram,FALSE
3,2426,85,Sentence,Filler-Gram,FALSE
3,1674,85,Sentence,Ungrammatical,TRUE
3,1074,85,Sentence,Ungrammatical,TRUE
3,1939,65,Sentence,Grammatical,TRUE
3,1203,85,Sentence,Ungrammatical,TRUE
3,1635,65,Sentence,Grammatical,TRUE
3,946,65,Sentence,Filler-Ungram,FALSE
3,609,85,Sentence,Ungrammatical,TRUE
3,2444,85,Sentence,Grammatical,FALSE
3,1897,65,Sentence,Filler-Ungram,FALSE
3,1761,85,Sentence,Grammatical,FALSE
3,692,85,Sentence,Ungrammatical,TRUE
3,1006,85,Sentence,Ungrammatical,TRUE
3,1577,65,Sentence,Grammatical,TRUE
3,1113,85,Sentence,Ungrammatical,TRUE
3,958,85,Sentence,Ungrammatical,TRUE
3,2432,65,Sentence,Filler-Ungram,FALSE
3,1310,85,Sentence,Filler-Gram,FALSE
3,1255,65,Sentence,Filler-Gram,TRUE
3,908,65,Sentence,Filler-Ungram,FALSE
3,1293,85,Sentence,Filler-Gram,FALSE
3,1611,65,Sentence,Grammatical,TRUE
3,1833,85,Sentence,Filler-Gram,FALSE
3,1160,65,Sentence,Filler-Ungram,FALSE
3,992,65,Sentence,Filler-Ungram,FALSE
3,1756,65,Sentence,Grammatical,TRUE
3,752,65,Music,In-Key,TRUE
3,3884,85,Music,Distant-Key,TRUE
3,1685,85,Music,Distant-Key,TRUE
3,2262,65,Music,Distant-Key,FALSE
3,2457,65,Music,In-Key,TRUE
3,1502,85,Music,Distant-Key,TRUE
3,729,65,Music,In-Key,TRUE
3,467,65,Music,Distant-Key,FALSE
3,1711,65,Music,Distant-Key,FALSE
3,511,65,Music,In-Key,TRUE
3,716,85,Music,Distant-Key,TRUE
